Title,Category
My Side of the Mountain,"Young Adult Fiction , Science & Nature , General"
Lyddie PMC 3.99 Promo (Puffin Modern Classics),"Young Adult Fiction , Historical , United States , 19th Century"
"Dealing with Dragons: The Enchanted Forest Chronicles, Book One","Young Adult Fiction , Girls & Women"
"Awakening (Sweep, No. 5)","Young Adult Fiction , Horror"
Point Blank (Alex Rider),"Young Adult Fiction , Action & Adventure , General"
Across Five Aprils,"Young Adult Fiction , General"
Westminster Abby (SASS Students Across the Seven Seas),"Young Adult Fiction , People & Places , Europe"
Stoner & Spaz,"Young Adult Fiction , Social Themes , Friendship"
High Elk's Treasure,"Young Adult Fiction , People & Places , United States , Native American"
Story Time,"Young Adult Fiction , Humorous , General"
Haunted: A Tale of the Mediator,"Young Adult Fiction , Social Themes , General"
"I, Juan de Pareja (Sunburst Book)","Young Adult Fiction , Art"
Getting near to baby (Newbery Honor Book),"Young Adult Fiction , Family , Siblings"
Time Stops for No Mouse: A Hermux Tantamoq Adventure,"Young Adult Fiction , Fantasy , General"
".Hack: //Legend of the Twilight, Vol. 1","Young Adult Fiction , Comics & Graphic Novels , General"
Wolf Star: The Claidi Journals II (Claidi Journals (Paperback)),"Young Adult Fiction , Fantasy , General"
Faerie Wars (Faerie Wars Chronicles),"Young Adult Fiction , Action & Adventure , General"
The Kidnapping Of Christina Lattimore,"Young Adult Fiction , Law & Crime"
"D.N.Angel, Vol. 4","Young Adult Fiction , Comics & Graphic Novels , Manga"
The Devil's Arithmetic (Puffin Modern Classics),"Young Adult Fiction , Historical , General"
Wormwood,"Young Adult Fiction , Fantasy , General"
The Prophecy of the Stones: A Novel,"Young Adult Fiction , Fantasy , General"
Goddess of the Night (Daughters of the Moon 1),"Young Adult Fiction , Fantasy , General"
Dragonwings,"Young Adult Fiction , Historical , United States , 20th Century"
My Life as a Girl,"Young Adult Fiction , Girls & Women"
The Secret of Sarah Revere,"Young Adult Fiction , Historical , United States , Colonial & Revolutionary Periods"
Beyond the Burning Lands (The Swords of the Spirits Trilogy),"Young Adult Fiction , Fantasy , General"
It's a Matter of Trust (Browndeer Press),"Young Adult Fiction , General"
Sword of the Rightful King: A Novel of King Arthur,"Young Adult Fiction , Historical , Medieval"
Flipped,"Young Adult Fiction , Humorous , General"
When My Name Was Keoko,"Young Adult Fiction , Historical , Asia"
Ultimate On-Line Homework Helper,"Young Adult Fiction , Science & Technology"
Legend of Luke (Redwall),"Young Adult Fiction , Fantasy , General"
Breakout (Extreme Fiction Series),"Young Adult Fiction , Religious , Christian , General"
Zazoo Pa,"Young Adult Fiction , Family , Orphans & Foster Homes"
Armageddon Summer,"Young Adult Fiction , Religious , General"
Big Mouth & Ugly Girl,"Young Adult Fiction , Social Themes , Friendship"
"Chronicles of the Cursed Sword, Vol. 3","Young Adult Fiction , Comics & Graphic Novels , Manga"
Sang Spell,"Young Adult Fiction , Fantasy , General"
Send Me Down a Miracle,"Young Adult Fiction , Religious , Christian , General"
"Holt McDougal Library, Middle School with Connections: Student Text Lupita Manana 1998","Young Adult Fiction , General"
Violet & Claire,"Young Adult Fiction , Social Themes , Friendship"
Lyddie,"Young Adult Fiction , Historical , United States , 19th Century"
The Song of the Meadowlark: The Story of an American Indian and the Nez Perce War,"Young Adult Fiction , General"
"Bless Me, Ultima","Young Adult Fiction , General"
Double Helix,"Young Adult Fiction , Mysteries & Detective Stories"
Falling from Fire,"Young Adult Fiction , Social Themes , Self-Esteem & Self-Reliance"
The Traitor,"Young Adult Fiction , General"
Civil War Women II: Stories by Women About Women (Civil War Series),"Young Adult Fiction , Historical , United States , Civil War Period (1850-1877)"
Shadowmancer,"Young Adult Fiction , Fantasy , General"
Flour Babies,"Young Adult Fiction , Family , Parents"
The Swiss Family Robinson (Puffin Classics),"Young Adult Fiction , Classics"
Wolf Tower: The Claidi Journals I (Claidi Journals (Paperback)),"Young Adult Fiction , Girls & Women"
The A-List: A Novel,"Young Adult Fiction , Social Themes , Friendship"
Girls in Love (Girls Quartet),"Young Adult Fiction , Social Themes , Emotions & Feelings"
Hidden Talents,"Young Adult Fiction , Fantasy , General"
Truth Slayers: The Battle of Right From Wrong (The Powerlink Chronicles),"Young Adult Fiction , General"
The Ballad of Lucy Whipple,"Young Adult Fiction , Historical , United States , General"
The Voice on the Radio,"Young Adult Fiction , Social Themes , Emotions & Feelings"
"Princess in Love (The Princess Diaries, Vol. 3)","Young Adult Fiction , Royalty"
The Sands of Time (A Hermux Tantamoq Adventure),"Young Adult Fiction , Fantasy , General"
The Vampire's Beautiful Daughter,"Young Adult Fiction , General"
The Arkadians,"Young Adult Fiction , Fantasy , General"
"These Happy Golden Years (Little House, 8)","Young Adult Fiction , Historical , United States , 19th Century"
Probably Still Nick Swansen,"Young Adult Fiction , Social Themes , Emotions & Feelings"
Jip: His Story,"Young Adult Fiction , Historical , United States , General"
The Hanukkah Book,"Young Adult Fiction , Holidays & Celebrations"
"The Candidate for Goddess, Vol. 2","Young Adult Fiction , Fantasy , General"
The Slopes of War,"Young Adult Fiction , Historical , United States , Civil War Period (1850-1877)"
The Forever City (Millennium),"Young Adult Fiction , General"
The Purple Emperor: Faerie Wars II (Faerie Wars Chronicles),"Young Adult Fiction , Action & Adventure , General"
The Contender,"Young Adult Fiction , People & Places , United States , African American"
"Searching for Dragons: The Enchanted Forest Chronicles, Book Two","Young Adult Fiction , Health & Daily Living , General"
A Midsummer Night's Dream (Oxford School Shakespeare Series),"Young Adult Fiction , General"
Best Friends for Never,"Young Adult Fiction , Girls & Women"
The Magic Circle,"Young Adult Fiction , Fantasy , General"
Jake Riley: Irreparably Damaged,"Young Adult Fiction , School & Education , General"
The Prophecy of the Stones,"Young Adult Fiction , Fantasy , General"
After,"Young Adult Fiction , School & Education , General"
A Secret Life (Alias),"Young Adult Fiction , Media Tie-In"
Rascal: Celebrating 50 Years of Sterling North's Classic Adventure! (Puffin Modern Classics),"Young Adult Fiction , Science & Nature , General"
The Silent Boy (Readers Circle),"Young Adult Fiction , Historical , United States , 20th Century"
Into the Cold Fire (Daughters of the Moon #2),"Young Adult Fiction , Fantasy , General"
Time Stops for No Mouse (A Hermux Tantamoq Adventure),"Young Adult Fiction , Fantasy , General"
Come a Stranger (The Tillerman Series #5),"Young Adult Fiction , General"
"D.N.Angel, Vol. 2","Young Adult Fiction , Comics & Graphic Novels , Manga"
The Man Who Was Poe,"Young Adult Fiction , General"
Herbert Rowbarge,"Young Adult Fiction , General"
Warriors of Alavna,"Young Adult Fiction , Fantasy , General"
Hard Love,"Young Adult Fiction , Romance , General"
"Ragnarok, Vol. 6: Midnight's Masters","Young Adult Fiction , Legends, Myths, Fables , General"
The Ribbajack: and Other Curious Yarns,"Young Adult Fiction , Horror"
Prom,"Young Adult Fiction , Family , General"
"Ragnarok: Night of Blood, Vol. 3","Young Adult Fiction , Legends, Myths, Fables , General"
The Extraordinary Adventures of Alfred Kropp,"Young Adult Fiction , Fantasy , General"
"The Vampire's Assistant (Cirque du Freak, Book 2) (Cirque Du Freak, 2)","Young Adult Fiction , Horror"
Sokora Refugees manga volume 1 (1),"Young Adult Fiction , Fantasy , General"
Hatchet,"Young Adult Fiction , Family , Marriage & Divorce"
The Call of the Wild (Puffin Classics),"Young Adult Fiction , Classics"
Mindquakes: Stories To Shatter Your Brain (Scary Stories),"Young Adult Fiction , Fantasy , General"
A Northern Light: Borders Edition,"Young Adult Fiction , Historical , United States , 20th Century"
RAGNAROK #1,"Young Adult Fiction , Legends, Myths, Fables , General"
The Golem,"Young Adult Fiction , Fairy Tales & Folklore , Country & Ethnic"
The Queen of Everything,"Young Adult Fiction , Family , Parents"
"The Password to Larkspur Lane (Nancy Drew, Book 10)","Young Adult Fiction , Girls & Women"
Point Blank (Alex Rider Adventure),"Young Adult Fiction , Action & Adventure , General"
Stormbreaker promo (Alex Rider),"Young Adult Fiction , General"
Shadow of the Dragon,"Young Adult Fiction , Historical , United States , 20th Century"
The It Girl (It Girl #1),"Young Adult Fiction , School & Education , General"
Merlin's Mistake (Lost Treasures),"Young Adult Fiction , General"
Princess Lessons (A Princess Diaries Book),"Young Adult Fiction , Royalty"
The Oracle Betrayed: Book One of The Oracle Prophecies,"Young Adult Fiction , Fantasy , General"
Under a War-Torn Sky,"Young Adult Fiction , Historical , Military & Wars"
Surviving Antarctica: Reality TV 2083,"Young Adult Fiction , Science Fiction , General"
Romiette and Julio,"Young Adult Fiction , Social Themes , Emotions & Feelings"
Foster Mary,"Young Adult Fiction , General"
Baker Street Puzzles,"Young Adult Fiction , Mysteries & Detective Stories"
Incident at Hawk's Hill,"Young Adult Fiction , Historical , United States , 19th Century"
Cut,"Young Adult Fiction , Social Themes , General"
Shakespeare Bats Cleanup,"Young Adult Fiction , Social Themes , Death, Grief, Bereavement"
Grace Happens,"Young Adult Fiction , Family , Parents"
"The Second Summer of the Sisterhood (Sisterhood of the Traveling Pants, Book 2)","Young Adult Fiction , Social Themes , Friendship"
Armageddon Summer,"Young Adult Fiction , Religious , General"
"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson","Young Adult Fiction , Humorous , General"
Minerva Clark Gets a Clue,"Young Adult Fiction , Family , Siblings"
Once Upon a Dark November,"Young Adult Fiction , General"
Tulku (Unicorn Book),"Young Adult Fiction , General"
"Love Or Money, Vol. 2","Young Adult Fiction , Comics & Graphic Novels , Manga"
No Man for Murder,"Young Adult Fiction , General"
Speak,"Young Adult Fiction , Social Themes , General"
Patiently Alice,"Young Adult Fiction , Family , Parents"
The Last Siege,"Young Adult Fiction , Fantasy , General"
The Astonishing Adventures of Fanboy and Goth Girl,"Young Adult Fiction , School & Education , General"
Troy,"Young Adult Fiction , Historical , Ancient Civilizations"
Heat (Fearless #8),"Young Adult Fiction , Action & Adventure , General"
Bad Kitty,"Young Adult Fiction , Humorous , General"
So Loud a Silence,"Young Adult Fiction , General"
"Real Bout High School, Book 4","Young Adult Fiction , Comics & Graphic Novels , General"
"The Amber Spyglass (His Dark Materials, Book 3)","Young Adult Fiction , Fantasy , General"
Eaglebait,"Young Adult Fiction , General"
Sticky Fingers,"Young Adult Fiction , Social Themes , Emotions & Feelings"
Image (ANGEL),"Young Adult Fiction , Fantasy , General"
I'd Rather Be Dancing,"Young Adult Fiction , General"
Shadowmancer,"Young Adult Fiction , Fantasy , General"
The Never War (3) (Pendragon),"Young Adult Fiction , Fantasy , General"
The Shakespeare Stealer,"Young Adult Fiction , Historical , Europe"
Arctic Unicorn,"Young Adult Fiction , General"
Scars (Childrens Paperbacks Series),"Young Adult Fiction , General"
Fearless #1,"Young Adult Fiction , Action & Adventure , General"
The Door in the Dragon's Throat (The Cooper Kids Adventure Series #1),"Young Adult Fiction , Action & Adventure , General"
"Bud, Not Buddy: (Newbery Medal Winner)","Young Adult Fiction , Historical , United States , 20th Century"
A Great and Terrible Beauty (The Gemma Doyle Trilogy),"Young Adult Fiction , Historical , Europe"
Three Against the Tide,"Young Adult Fiction , Historical , United States , General"
Sisterhood of the Traveling Pants (Book 1),"Young Adult Fiction , Social Themes , Friendship"
Julie of the Wolves (HarperClassics),"Young Adult Fiction , Girls & Women"
Nightmare Academy (VERITAS PROJECT),"Young Adult Fiction , Religious , Christian , General"
