Title,Category
Double Helix,"Poetry , American , General"
The Post-Rapture Diner (Pitt Poetry Series),"Poetry , American , General"
Sacred Voices: Women of Genesis Speak,"Poetry , Subjects & Themes , Inspirational & Religious"
War Is Kind and Other Poems (Dover Thrift Editions),"Poetry , European , English, Irish, Scottish, Welsh"
Blossoms of Friendship,"Poetry , General"
ShrinkLits: Seventy of the World's Towering Classics Cut Down to Size,"Poetry , American , General"
The Habit of Fire: Selected & New (Capital Collection),"Poetry , General"
Gold Cell (Knopf Poetry Series),"Poetry , American , General"
Roman Epistle,"Poetry , General"
Someone Going Home Late,"Poetry , American , General"
The Rubáyát of Omar Khayyám : First and Fifth Editions (Dover Thrift Editions),"Poetry , Middle Eastern"
View with a Grain of Sand: Selected Poems,"Poetry , European , General"
The Poet's Handbook,"Poetry , General"
Sleeping on the Wing: An Anthology of Modern Poetry with Essays on Reading and Writing,"Poetry , General"
Selected Poems and Letters (Riverside Editions),"Poetry , General"
The Father: Poems,"Poetry , American , General"
A Gift of Peace,"Poetry , General"
Kings Highway,"Poetry , General"
How to Read a Poem,"Literary Criticism , Poetry"
The Old Dog Barks Backwards.,"Poetry , General"
NEW COWBOY POETRY,"Poetry , Anthologies (multiple authors)"
Get Better or Get Beaten!: 31 Leadership Secrets from GE's Jack Welch,"Poetry , General"
Richard Scarry's Best Mother Goose Ever (Giant Golden Book),"Juvenile Nonfiction , Poetry , General"
Loving,"Poetry , General"
From the Book of Giants (Phoenix Poets),"Poetry , American , General"
Talking to the Sun: An Illustrated Anthology of Poems for Young People,"Young Adult Nonfiction , Poetry"
Difficult Weather,"Poetry , General"
Love: Ten Poems,"Poetry , Australian & Oceanian"
An Old-Time Christmas,"Poetry , American , General"
The Invisible World,"Poetry , American , General"
"African-American Poetry: An Anthology, 1773-1927 (Dover Thrift Editions)","Poetry , Anthologies (multiple authors)"
If I Had a Hammer Women's Work,"Poetry , American , General"
The Frogs Wore Red Suspenders,"Juvenile Nonfiction , Poetry , Humorous"
A Visit to William Blake's Inn: Poems for Innocent and Experienced Travelers,"Juvenile Nonfiction , Poetry , General"
A Year Full of Poems,"Juvenile Nonfiction , Poetry , General"
Loveroot:,"Poetry , General"
Fooling with Words: A Celebration of Poets and Their Craft,"Poetry , General"
"To My Child: We May No Longer Live in the Same House, but You're Always in My Heart : A Collection of Poems (Teens & Young Adults)","Poetry , General"
Sad Underwear and Other Complications: More Poems for Children and their Parents,"Juvenile Nonfiction , Poetry , Humorous"
Invisible Tender (Poets Out Loud),"Poetry , American , General"
Neighborhood Odes,"Juvenile Nonfiction , Poetry , General"
"Donne: Selected Poetry (Poetry Library, Penguin)","Poetry , European , English, Irish, Scottish, Welsh"
Faces in a Single Tree: A Cycle of Monologues,"Poetry , General"
Evangeline : A Tale of Acadie,"Poetry , American , General"
The Best American Poetry 1998,"Poetry , Anthologies (multiple authors)"
In Case of Fire in a Foreign Land: New and Collected Poems from Two Languages (English and Spanish Edition),"Poetry , General"
Another America/Otra America (English and Spanish Edition),"Poetry , General"
And the Greatest of These Is Love,"Poetry , General"
Always Believe in Yourself and Your Dreams: A Collection of Poems (Blue Mountain Arts Collection),"Poetry , General"
English Romantic Poetry: An Anthology (Dover Thrift Editions),"Poetry , Subjects & Themes , Love & Erotica"
Antarctic Antics: A Book of Penguin Poems,"Juvenile Nonfiction , Poetry , Humorous"
"Macmillan Literature Heritage, Currents in Literature, Currents In Poetry","Young Adult Nonfiction , Poetry"
101 Poems That Could Save Your Life: An Anthology of Emotional First Aid,"Poetry , General"
An Owner's Manual for the Unfinished Soul,"Poetry , American , General"
Something Big Has Been Here,"Juvenile Nonfiction , Poetry , General"
Poetry: A Longman Pocket Anthology (Longman Pocket Anthology Series),"Poetry , Anthologies (multiple authors)"
Breathing Tokens,"Poetry , American , General"
Trouble in History (White Pine Press Poetry Prize),"Poetry , American , General"
The Use of Fire,"Poetry , General"
The Clerihews of Paul Horgan,"Poetry , General"
Girls Rule: A very special book created especially for girls (Teens & Young Adults),"Juvenile Nonfiction , Poetry , General"
The Classic Hundred: All-Time Favorite Poems (A Columbia Anthology),"Poetry , General"
Easter 1916 and Other Poems (Dover Thrift Editions),"Poetry , European , English, Irish, Scottish, Welsh"
The Oxford Book of American Light Verse (Oxford Books of Verse),"Poetry , Anthologies (multiple authors)"
Good Poems,"Literary Criticism , Poetry"
Selected Poems,"Poetry , American , General"
Jabberwocky and Other Poems (Dover Thrift Editions: Poetry),"Poetry , American , General"
Dover Beach and Other Poems (Dover Thrift Editions),"Poetry , European , English, Irish, Scottish, Welsh"
English Victorian Poetry: An Anthology (Dover Thrift Editions: Poetry),"Poetry , European , English, Irish, Scottish, Welsh"
The Language of Happiness: A Collection from Blue Mountain Arts (Language of Series),"Literary Criticism , Poetry"
The Congo and Other Poems (Dover Thrift Editions),"Poetry , General"
The Ballad of Reading Gaol and Other Poems (Dover Thrift Editions),"Poetry , European , English, Irish, Scottish, Welsh"
"World War One British Poets: Brooke, Owen, Sassoon, Rosenberg and Others (Unabridged)","Poetry , Anthologies (multiple authors)"
To His Coy Mistress and Other Poems (Dover Thrift Editions),"Poetry , European , English, Irish, Scottish, Welsh"
Gunga Din and Other Favorite Poems (Dover Thrift Editions),"Poetry , European , English, Irish, Scottish, Welsh"
Favorite Poems (Dover Thrift Editions),"Poetry , Subjects & Themes , Love & Erotica"
Premier Book of Major Poets: An Anthology,"Poetry , Anthologies (multiple authors)"
Fathers: A Collection of Poems,"Poetry , General"
Selected Poems (Dover Thrift Editions),"Poetry , American , General"
"Book of 1,000 Poems","Poetry , Anthologies (multiple authors)"
Heartsongs,"Poetry , Ancient & Classical"
Native American Songs and Poems: An Anthology (Dover Thrift Editions),"Poetry , Anthologies (multiple authors)"
Surprises: 38 Poems about Almost Everything! (I Can Read Level 3),"Juvenile Nonfiction , Poetry , General"
